color	ID	t_length	mean_size	N	length_%
black	IRIS_313-10946	2088704	47788.23533318	488	0.5602032852519251
black	IRIS_313-10949	2464011	40283.94570286	724	0.6608794608262591
black	IRIS_313-10959	2441155	49581.37530398	629	0.6547490013317918
black	IRIS_313-10960	1572814	46797.904392649994	422	0.4218397259600332
black	IRIS_313-10994	1993364	50771.904634520004	476	0.5346379500197879
black	IRIS_313-10999	971440	37041.61257672	307	0.26053725332725547
black	IRIS_313-11007	3052671	40592.044522539996	885	0.8187572927676021
black	IRIS_313-11008	14350703	55874.993783030004	3171	3.848834932267109
black	IRIS_313-11009	6287152	48065.731016419995	1596	1.6862222369530289
black	IRIS_313-11044	3581926	55245.8027801	741	0.9607068210397252
black	IRIS_313-11045	2428620	71990.99797098999	397	0.6513769938855446
black	IRIS_313-11073	3037089	43399.92949793999	863	0.8145694323558572
black	IRIS_313-11075	2951741	45990.651987920006	795	0.7916918829380093
black	IRIS_313-11077	1956269	44823.68233301	512	0.5246846362160926
black	IRIS_313-11094	654948	45830.78431842999	177	0.1756616539211962
black	IRIS_313-11183	1654331	43643.44028101	461	0.4437045983915257
black	IRIS_313-11311	1695964	45212.783192200004	460	0.4548615322353653
black	IRIS_313-11328	1192636	41459.10204905999	373	0.3198749779861261
black	IRIS_313-11329	4106433	47159.44823461	997	1.101389457991115
black	IRIS_313-11337	2175997	51470.258007380005	515	0.5836302209734616
black	IRIS_313-11464	2584041	39057.88425906999	801	0.6930630600509068
black	IRIS_313-11473	3109819	50678.13432638	775	0.8340797194406631
black	IRIS_313-11494	3444958	50580.11030167	839	0.9239570410041873
black	IRIS_313-11495	3484146	45018.19085614	912	0.9344726777888107
black	IRIS_313-11496	7056290	46542.590191049996	1807	1.8924918391655097
black	IRIS_313-11511	3287122	44186.89269397	901	0.8816283671827574
black	IRIS_313-11522	3039391	50611.660866289996	690	0.815188078680414
black	IRIS_313-11571	8201900	43064.118248759994	2309	2.199820246585637
black	IRIS_313-11574	2144136	45200.2833098	577	0.575069349460724
black	IRIS_313-11575	4640474	59641.276383840006	969	1.2446034651563844
black	IRIS_313-11582	3072861	44542.50048864	869	0.8241666174124598
